"Question Text","Time Limit (seconds)","Points","Option 1 (Red)","Option 2 (Blue)","Option 3 (Yellow)","Option 4 (Green)","Correct Option Number (1-4)"
"If a[1] is 7 and *p += 5 where p = &a[1], what is a[1]?","20","1000","12","7","5","The address changes","1"
"What is true immediately after free(a)?","20","1000","Only a is invalid","Pointers into the old block are invalid","All aliases become NULL","The array keeps its lifetime","2"
"If p = &a[1] and *p = 20, what changes?","20","1000","p becomes 20","a becomes NULL","a[1] becomes 20","capacity becomes 20","3"
"Why can a non-const pointer parameter modify caller data?","20","1000","It creates a separate file","It disables dereferencing","It always owns memory","It refers to the caller's object","4"
"What must happen before writing into newly malloc'd memory?","20","1000","Check whether allocation succeeded","Call free first","Set every alias to NULL","Reduce capacity","1"
"For size 3 and capacity 5, how many slots are unused?","20","1000","3","2","5","8","2"
"What must happen before appending when size equals capacity?","20","1000","Increment size twice","Search unused slots to capacity","Grow capacity and confirm success","Delete the last element","3"
"Insert 15 at index 1 into [10,20,30]. What is the result?","20","1000","[15,10,20,30]","[10,20,15,30]","[10,20,30,15]","[10,15,20,30]","4"
"Delete index 1 from [10,15,20,30]. What remains logically?","20","1000","[10,20,30]","[10,15,30]","[15,20,30]","[10,15,20]","1"
"After deletion, what is true of a value beyond the new size?","20","1000","It must be searched","It is not a logical element","It increases capacity","It becomes the owner","2"
"Which insertion loop shifts safely for index k?","20","1000","for (i=0; i<k; i++)","for (i=size; i<k; i--)","for (i=size; i>k; i--)","for (i=k; i>size; i++)","3"
"Which deletion condition stops at the new logical end?","20","1000","i <= capacity","i > size","i == capacity","i < size - 1","4"
"If realloc returns NULL through tmp, what remains true?","20","1000","Original data, size, and capacity remain","Original data is freed","Size becomes zero","Capacity is committed","1"
"What should findById return when it finds a matching record?","20","1000","A copied file","The matching index","The array capacity","The record's score only","2"
"Inside updateScore(Student *s,...), how is score accessed?","20","1000","s.score","score->s","s->score","s-score","3"
"When sorting students, what should be swapped?","20","1000","Only scores","Only names","Only IDs","Complete Student objects","4"
"What does %29[^|] help protect?","20","1000","The name buffer boundary","The score range","The file mode","The array capacity","1"
"If sscanf reports 2 fields when 3 are required, what follows?","20","1000","Commit it with defaults","Reject the candidate","Increase size","Overwrite the prior record","2"
"How should a record with score 120 be handled?","20","1000","Accept it","Clamp it silently","Reject it","Use it as capacity","3"
"When is a save operation successful?","20","1000","As soon as fopen is called","After the first fprintf","Whenever mode w is used","After open, all writes, and close succeed","4"
