"Question Text","Time Limit (seconds)","Points","Option 1 (Red)","Option 2 (Blue)","Option 3 (Yellow)","Option 4 (Green)","Correct Option Number (1-4)"
"What does a pointer variable store?","20","1000","An address","A data type","A file name","An array size","1"
"Who must normally release a dynamically allocated block?","20","1000","Every alias","The owner","The compiler","The last array element","2"
"What is p after free(a) if p still stores an address inside a?","20","1000","A new owner","A NULL pointer","A dangling pointer","A valid array","3"
"After free(a); a = NULL;, what happens to alias p?","20","1000","It becomes NULL","It owns new memory","It becomes an integer","It can remain dangling","4"
"When is *p valid after p = &a[1]?","20","1000","After assignment and before free(a)","Only after free(a)","Before p receives an address","Whenever a is NULL","1"
"What does logical size represent in a dynamic array?","20","1000","The bytes in one element","The number of meaningful elements","The maximum possible index","The number of freed slots","2"
"What does capacity represent?","20","1000","The number of valid records","The last stored value","The number of allocated element slots","The number of pointers","3"
"Which dynamic-array invariant must always hold?","20","1000","capacity < size","size is always positive","size equals capacity","0 <= size <= capacity","4"
"Which bound should a normal search use?","20","1000","i < size","i <= capacity","i < capacity","i <= size","1"
"If capacity is 0, what is a valid first growth value?","20","1000","0","1","-1","size - 1","2"
"Why store realloc's result in a temporary pointer?","20","1000","To clear every element","To make size equal capacity","To preserve the owner if resizing fails","To avoid checking NULL","3"
"In which direction should insertion shift elements?","20","1000","From left to right","From the middle outward","No shifting is needed","From right to left","4"
"In which direction should deletion shift later elements?","20","1000","From left to right","From right to left","From both ends","In random order","1"
"Which insertion positions are valid for an array of logical size n?","20","1000","1 through n","0 through n","0 through n - 1 only","1 through capacity","2"
"What is the main purpose of a Student struct?","20","1000","Allocate every file","Replace all functions","Keep related fields together","Store only one score","3"
"Which expression accesses score through Student *p?","20","1000","p.score","*p.score","p-score","p->score","4"
"What does const Student *p communicate?","20","1000","The function should not modify the record","The pointer is always NULL","The record must be freed","The record has no fields","1"
"When should a parsed file record be committed?","20","1000","Immediately after fgets","After all checks and capacity growth succeed","Before checking duplicates","Before parsing fields","2"
"What should a malformed input line do to accepted records?","20","1000","Delete the last record","Increase size","Leave them unchanged","Reset capacity","3"
"What belongs in a strong technical explanation?","20","1000","Only the final output","Only a definition","A guess and a rewrite","Claim, evidence, and consequence","4"
