"Question Text","Time Limit (seconds)","Points","Option 1 (Red)","Option 2 (Blue)","Option 3 (Yellow)","Option 4 (Green)","Correct Option Number (1-4)"
"Why is capacity *= 2 defective when capacity starts at 0?","20","1000","It keeps capacity at 0","It makes capacity negative","It frees data","It doubles size","1"
"Why should capacity not change before realloc succeeds?","20","1000","Capacity must always be zero","Failure would publish false metadata","Size must change first","realloc cannot return NULL","2"
"What can direct data = realloc(data, ...) lose on failure?","20","1000","The logical size","The file stream","The only pointer to the original block","The struct definition","3"
"What defect occurs if realloc's result is never checked?","20","1000","The old block always grows","Every alias becomes safe","The file closes early","Code may continue using NULL","4"
"Why does for(i=size; i<index; i--) fail for middle insertion?","20","1000","Its condition is initially false","It shifts left correctly","It increments i","It checks file fields","1"
"When should an invalid insertion index be rejected?","20","1000","After size++","Before resizing or shifting","After overwriting data","Only during saving","2"
"Why is writing data[index] before ensuring capacity unsafe?","20","1000","It always changes the ID","It closes the file","The write may be outside allocated storage","It makes p const","3"
"Why must size++ wait until insertion succeeds?","20","1000","Capacity must equal zero","The owner must become an alias","Search must use capacity","Failure must not publish a new logical element","4"
"What bug can occur when search loops to capacity?","20","1000","Unused slots may be treated as elements","Valid elements are always skipped","The block is automatically freed","The file is truncated","1"
"Why must deletion reject an operation when size is 0?","20","1000","Capacity must be negative","No valid element exists to remove","The owner must be freed","Every index is valid","2"
"Why should a borrowing alias not call free on the block?","20","1000","It cannot store an address","It always equals NULL","It does not own the allocation","It is a struct object","3"
"What defect results when the owner never calls free?","20","1000","A valid append","A bounded name","A duplicate ID","A memory leak","4"
"What is dereferencing p after its block was freed?","20","1000","Invalid use after free","Safe read-only access","A capacity check","A file commit","1"
"Why parse into temporaries instead of records[size] directly?","20","1000","It makes every ID unique","A bad line cannot partly corrupt collection state","It removes the need for fgets","It guarantees fopen","2"
"What defect occurs if a duplicate ID is committed?","20","1000","Capacity becomes zero","The name buffer grows","Record identity is no longer unique","The owner becomes NULL","3"
"Why is swapping only scores during sorting wrong?","20","1000","It cannot change order","It frees the array","It rejects all files","Scores become detached from student identities","4"
"Which operator is wrong for a Student *p?","20","1000","p.score","p->score","(*p).score","p[0].score","1"
"Which operator is wrong for a Student object s?","20","1000","s.score","s->score","(&s)->score","s.id","2"
"What danger does fopen(filename, ""w"") create?","20","1000","It reads without writing","It guarantees atomic replacement","It truncates the existing file","It appends safely","3"
"Why is reporting success before fclose incorrect?","20","1000","fclose changes every ID","The array may gain capacity","Pointers become const","A close failure may still lose buffered data","4"
