"Question Text","Time Limit (seconds)","Points","Option 1 (Red)","Option 2 (Blue)","Option 3 (Yellow)","Option 4 (Green)","Correct Option Number (1-4)"
"In a dynamic Student array, which pointer owns the allocation?","20","1000","The pointer responsible for calling free","Every pointer to one record","The file stream","The last Student","1"
"What can happen to p = &records[2] after successful realloc?","20","1000","p becomes the owner automatically","p may no longer identify valid storage","p always becomes NULL","The record becomes const","2"
"When capacity is 0, what new capacity supports the first insert?","20","1000","0","size - 1","1","-1","3"
"What is the insertion precondition for index k?","20","1000","0 < k && k < size","k == capacity","k > size","0 <= k && k <= size","4"
"What is the deletion precondition for index k?","20","1000","0 <= k && k < size","0 <= k && k <= size","k == capacity","k > size","1"
"Which sequence correctly performs insertion?","20","1000","Write, increment, validate, grow, shift","Validate, grow, shift, write, increment size","Shift, free, write, parse, close","Grow, increment, reject, write, shift","2"
"What must realloc failure preserve in the integrated manager?","20","1000","Only the requested value","Only the error text","Records, size, capacity, and owner","A larger capacity","3"
"What should findById return when no ID matches?","20","1000","0","capacity","NULL Student","-1","4"
"Why is a returned index useful for updating a record?","20","1000","It identifies the exact element in the collection","It copies the entire file","It changes the allocation owner","It validates fclose","1"
"What preserves id-name-score relationships during sorting?","20","1000","Swapping only scores","Swapping the whole Student object","Sorting only names","Reassigning all IDs","2"
"Which loading order protects accepted collection state?","20","1000","Commit, read, parse, validate, grow","Grow, commit, close, parse, read","Read, parse, validate, ensure capacity, commit","Parse, commit, read, free, validate","3"
"Why build each candidate record in temporary variables?","20","1000","It removes the need for validation","It guarantees unique memory addresses","It automatically saves the file","Only a complete valid candidate reaches the array","4"
"Assuming ID 101 is new, how should 101|Dara|78.5 be handled?","20","1000","Accept it","Reject for missing score","Reject for trailing data","Use 78.5 as capacity","1"
"How should 104|Vannak|81|extra be handled?","20","1000","Accept four fields","Reject for unexpected trailing data","Accept and ignore all checks","Use extra as a score","2"
"Which save sequence supports a truthful success message?","20","1000","Report, open, write, skip close","Open, report, then write one record","Open, write every record, close, then report","Append, ignore errors, report","3"
"What is the safest cleanup rule for the dynamic record array?","20","1000","Every alias calls free","Never call free","Free after every search","The owner frees the block exactly once","4"
"What should aliases do after the owner frees the array?","20","1000","Never dereference the old addresses","Continue reading them","Call realloc on them","Treat them as new owners","1"
"Which evidence best proves a failed insert preserved invariants?","20","1000","A success message","A before-and-after state trace with no changes","A larger capacity","A different test program","2"
"Which statement is evidence rather than a guess?","20","1000","The code looks wrong","I think p is unsafe","The block's lifetime ended at free(a)","The output feels unusual","3"
"Which order matches the seven-step explanation sequence?","20","1000","Test, state, result, trace, failure, invariant, condition","Claim, guess, compile, run, save, free, stop","Precondition, output, style, file, pointer, name, score","State, precond., invariant, trace, failure, test, conclude","4"
